D3-CIA-I1,(input) The container image must be available for analysis.,Analyzing a Container Image with respect to a set of policies.
D3-DKE-C4,(config) A secure erasure utility or software must be available and configured on the system.,Disk Erasure is the process of securely deleting all data on a disk to ensure that it cannot be recovered by any means.
D3-DKP-I1,(input) The disk must be recognized by the operating system or partitioning tool.,"Disk Partitioning is the process of dividing a disk into multiple distinct sections, known as partitions."
D3-DKP-I2,(input) There must be unallocated space on the disk to create a new partition.,"Disk Partitioning is the process of dividing a disk into multiple distinct sections, known as partitions."
D3-DKP-C3,(config) A partitioning scheme or plan must be defined before partitioning the disk.,"Disk Partitioning is the process of dividing a disk into multiple distinct sections, known as partitions."
D3-DKP-C4,(config) A partitioning tool must be installed and properly configured.,"Disk Partitioning is the process of dividing a disk into multiple distinct sections, known as partitions."
D3-DNSCE-I1,(input) The system must have DNS records currently stored in cache.,Flushing DNS to clear any IP addresses or other DNS records from the cache.
D3-DNSCE-I2,(input) The system must be running a DNS resolver that utilizes a cache.,Flushing DNS to clear any IP addresses or other DNS records from the cache.
D3-DNSCE-C3,"(config) The system must support DNS cache eviction via a tool or command (e.g., ipconfig /flushdns).",Flushing DNS to clear any IP addresses or other DNS records from the cache.
D3-DNSCE-C4,"(config) A policy must be in place defining when DNS cache eviction is authorized (e.g., after poisoning detection).",Flushing DNS to clear any IP addresses or other DNS records from the cache.
D3-DRT-I1,(input) The domain must be identified as malicious or involved in abuse.,The process of performing a takedown of the attacker's domain registration infrastructure.
D3-DRT-I2,(input) WHOIS data for the domain must be collected to determine registrar contact information.,The process of performing a takedown of the attacker's domain registration infrastructure.
D3-DRT-C3,(config) A takedown policy or legal framework must exist to initiate registrar or host intervention.,The process of performing a takedown of the attacker's domain registration infrastructure.
D3-DRT-C4,(config) Evidence must be gathered demonstrating a violation of registrar terms of service.,The process of performing a takedown of the attacker's domain registration infrastructure.
D3-ER-I1,"(input) The email must be present in a mailbox, storage folder, or archive.",The email removal technique deletes email files from system storage.
D3-ER-I2,(input) The email must be identified as malicious or suspicious by a user or detection system.,The email removal technique deletes email files from system storage.
D3-ER-C3,(config) A policy must be in place authorizing removal of emails flagged as threats or unwanted content.,The email removal technique deletes email files from system storage.
D3-ER-C4,(config) The system must support administrative or automated removal of email messages.,The email removal technique deletes email files from system storage.
D3-RKD-I1,(input) The registry key must exist at the specified path.,Registry key deletion is the process of removing a specific key or set of keys from the Windows Registry.
D3-RKD-I2,"(input) The registry key must be flagged as malicious, unnecessary, or misconfigured.",Registry key deletion is the process of removing a specific key or set of keys from the Windows Registry.
D3-RKD-C3,(config) A policy must authorize deletion of registry keys under certain conditions.,Registry key deletion is the process of removing a specific key or set of keys from the Windows Registry.
D3-RKD-C4,(config) The user or process must have administrative privileges to modify the registry.,Registry key deletion is the process of removing a specific key or set of keys from the Windows Registry.
D3-HR-I1,(input) The system must be powered on and capable of receiving a reboot instruction.,Initiating a host's reboot sequence to terminate all running processes.
D3-HR-I2,(input) A user or automated process must issue a reboot request with valid justification.,Initiating a host's reboot sequence to terminate all running processes.
D3-HR-C3,(config) The reboot must be permitted under policy and with sufficient user privileges.,Initiating a host's reboot sequence to terminate all running processes.
D3-HR-C4,"(config) If the reboot is to be performed remotely, the system must support remote reboot mechanisms.",Initiating a host's reboot sequence to terminate all running processes.
D3-PS-I1,(input) The target process must be currently active and executing.,Suspending a running process on a computer system.
D3-PS-I2,"(input) The process must be identified as suspicious or malicious, prompting containment.",Suspending a running process on a computer system.
D3-PS-C3,(config) A policy must define when and how processes can be suspended.,Suspending a running process on a computer system.
D3-PS-C4,"(config) A process suspension utility or operating system feature must be present (e.g., PsSuspend, Windows API).",Suspending a running process on a computer system.
D3-PT-I1,(input) The target process must currently be executing in the system.,Terminating a running application process on a computer system.
D3-PT-I2,"(input) The process must be identified as malicious, unauthorized, or anomalous by detection tools or policy.",Terminating a running application process on a computer system.
D3-PT-C3,(config) A policy must be defined that authorizes the termination of flagged processes.,Terminating a running application process on a computer system.
D3-PT-C4,"(config) The system must support terminating processes via built-in or external utilities (e.g., kill, taskkill).",Terminating a running application process on a computer system.
D3-ST-I1,(input) The user or device must have one or more active sessions.,Forcefully end all active sessions associated with compromised accounts or devices.
D3-ST-I2,"(input) The session must be identified as risky, compromised, or in violation of policy.",Forcefully end all active sessions associated with compromised accounts or devices.
D3-ST-C3,(config) The platform or system must support the ability to view and terminate active sessions.,Forcefully end all active sessions associated with compromised accounts or devices.
D3-ST-C4,(config) A policy must define how and when sessions can be forcibly terminated.,Forcefully end all active sessions associated with compromised accounts or devices.
D3-RIC-I1,(input) The existing credential must be invalidated or marked for replacement.,Issue a new credential to a user which supersedes their old credential.
D3-RIC-I2,(input) The user’s identity must be verified before issuing a new credential.,Issue a new credential to a user which supersedes their old credential.
D3-RIC-C3,(config) A policy must exist that defines conditions under which credentials can be reissued.,Issue a new credential to a user which supersedes their old credential.
D3-RIC-C4,(config) A credential management system must support credential issuance and revocation.,Issue a new credential to a user which supersedes their old credential.
D3-RNA-I1,(input) The entity must currently have its network access disabled or restricted.,Restoring an entity's access to a computer network.
D3-RNA-I2,"(input) The reason for the network restriction must be resolved, such as threat removal or policy compliance.",Restoring an entity's access to a computer network.
D3-RNA-C3,(config) A policy must define conditions under which network access can be restored.,Restoring an entity's access to a computer network.
D3-RNA-C4,"(config) The system must support re-enabling access via network control tools (e.g., firewall, NAC).",Restoring an entity's access to a computer network.
D3-ULA-I1,(input) The user account must be in a locked state.,Restoring a user account's access to resources by unlocking a locked User Account.
D3-ULA-I2,"(input) The reason for the account lock (e.g., failed login attempts or security concern) must be resolved.",Restoring a user account's access to resources by unlocking a locked User Account.
D3-ULA-C3,(config) An organizational policy must authorize unlocking the account under defined conditions.,Restoring a user account's access to resources by unlocking a locked User Account.
D3-ULA-C4,(config) The system managing account states must support administrative or automated account unlock operations.,Restoring a user account's access to resources by unlocking a locked User Account.
D3-RC-I1,"(input) The component must be misconfigured, corrupted, or tampered with.",Restoring a software configuration.
D3-RC-I2,(input) A trusted configuration backup must be available for the component.,Restoring a software configuration.
D3-RC-C3,(config) A documented and authorized procedure for restoring configuration must exist.,Restoring a software configuration.
D3-RC-C4,(config) A configuration management or recovery tool must be available to perform the restore.,Restoring a software configuration.
D3-RD-I1,"(input) The target database must be corrupted, deleted, or compromised.",Restoring the data in a database.
D3-RD-I2,(input) A valid backup or recovery snapshot must exist for the database.,Restoring the data in a database.
D3-RD-C3,(config) A policy or SOP must exist authorizing database restoration.,Restoring the data in a database.
D3-RD-C4,(config) The DBMS must support database restore functionality using available tools.,Restoring the data in a database.
D3-RDI-I1,(input) A valid and complete disk image must be accessible for the target system.,Restoring a previously captured disk image to a hard drive.
D3-RDI-I2,"(input) The target disk must be connected, writable, and available for imaging.",Restoring a previously captured disk image to a hard drive.
D3-RDI-C3,(config) A policy or standard operating procedure must authorize disk restoration under defined conditions.,Restoring a previously captured disk image to a hard drive.
D3-RDI-C4,(config) An imaging or restoration utility must be installed and functional on the system.,Restoring a previously captured disk image to a hard drive.
D3-RE-I1,"(input) The email must be stored in a backup, quarantine, archive, or recoverable folder.",Restoring an email for an entity to access.
D3-RE-I2,(input) A valid request must be made to restore the email.,Restoring an email for an entity to access.
D3-RE-C3,(config) A policy must define the conditions under which email can be restored.,Restoring an email for an entity to access.
D3-RE-C4,(config) The email platform or archive tool must support email restoration operations.,Restoring an email for an entity to access.
D3-RS-I1,"(input) The application or software component must be in a degraded, uninstalled, or corrupted state.",Restoring software to a host.
D3-RS-I2,(input) A verified version of the software must be available for installation or recovery.,Restoring software to a host.
D3-RS-C3,(config) A policy must define the conditions under which software can be restored to a host.,Restoring software to a host.
D3-RS-C4,(config) The target host must have sufficient resources and configuration to reinstall the software.,Restoring software to a host.
